"subplot_code"	"yearcol"	"mass.Mg.ha"	"vol.m3.ha"	"input.mass.Mgha"	"input.vol.m3ha"	"type"
"08,06"	2023	2.1665604452954	7.99468799001991	2.1665604452954	7.99468799001991	"downed"
"08,06"	2024	2.18003823827421	8.04442154344728	2.18003823827421	8.04442154344728	"downed"
"09,12"	2017	23.5766653836854	97.1755851891351	23.5766653836854	97.1755851891351	"downed"
"09,12"	2018	16.0318540886506	78.1617152041521	16.0318540886506	78.1617152041521	"downed"
"09,12"	2019	17.8951615670417	73.1462598301423	17.8951615670417	73.1462598301423	"downed"
"09,12"	2020	9.99564647148577	50.9862221234589	9.99564647148577	50.9862221234589	"downed"
"09,12"	2021	12.4751496602072	46.0337625837904	12.4751496602072	46.0337625837904	"downed"
"09,12"	2022	14.8217274489328	54.6927212137742	14.8217274489328	54.6927212137742	"downed"
"09,12"	2023	20.6754568245801	76.2931986146865	20.6754568245801	76.2931986146865	"downed"
"09,12"	2024	20.4246862919618	75.3678460958	20.4246862919618	75.3678460958	"downed"
"10,20"	2017	2.22900144082556	9.77283601418805	2.22900144082556	9.77283601418805	"downed"
"10,20"	2018	3.48516325761061	12.5973934237248	3.48516325761061	12.5973934237248	"downed"
"10,20"	2019	2.91948867059371	15.8481943733336	2.91948867059371	15.8481943733336	"downed"
"10,20"	2020	1.06853851851751	3.76594803557504	1.06853851851751	3.76594803557504	"downed"
"10,20"	2021	0	0	0	0	"downed"
"10,20"	2022	0	0	0	0	"downed"
"10,20"	2023	1.41255628739216	5.21238482432532	1.41255628739216	5.21238482432532	"downed"
"10,20"	2024	0	0	0	0	"downed"
"11,08"	2017	0	0	0	0	"downed"
"11,08"	2018	0	0	0	0	"downed"
"11,08"	2019	0	0	0	0	"downed"
"11,08"	2020	0	0	0	0	"downed"
"11,08"	2021	0	0	0	0	"downed"
"11,08"	2022	0	0	0	0	"downed"
"11,08"	2023	0	0	0	0	"downed"
"11,08"	2024	0	0	0	0	"downed"
"11,15"	2017	10.6601226374254	36.3149780749551	10.6601226374254	36.3149780749551	"downed"
"11,15"	2018	7.03394189100907	31.5708597156909	7.03394189100907	31.5708597156909	"downed"
"11,15"	2019	6.9801911305508	32.6005370373483	6.9801911305508	32.6005370373483	"downed"
"11,15"	2020	8.94953439419827	29.7946393486323	8.94953439419827	29.7946393486323	"downed"
"11,15"	2021	5.80857354521742	21.4338507203595	5.80857354521742	21.4338507203595	"downed"
"11,15"	2022	3.89031792777827	14.3554167076689	3.89031792777827	14.3554167076689	"downed"
"11,15"	2023	12.2431017671378	45.1774972957115	12.2431017671378	45.1774972957115	"downed"
"11,15"	2024	19.7964330769214	73.0495685495253	19.7964330769214	73.0495685495253	"downed"
"12,23"	2017	12.3273454125776	38.1772490553857	12.3273454125776	38.1772490553857	"downed"
"12,23"	2018	26.1747125853342	84.4236707715058	26.1747125853342	84.4236707715058	"downed"
"12,23"	2019	24.9895581821455	74.0631306577466	24.9895581821455	74.0631306577466	"downed"
"12,23"	2020	21.0319325928788	66.790697233547	21.0319325928788	66.790697233547	"downed"
"12,23"	2021	16.8133691267466	62.0419524972198	16.8133691267466	62.0419524972198	"downed"
"12,23"	2022	15.1605319998762	55.9429225087685	15.1605319998762	55.9429225087685	"downed"
"12,23"	2023	18.1100163945209	66.8266287620697	18.1100163945209	66.8266287620697	"downed"
"12,23"	2024	16.0655710223545	59.2825498979871	16.0655710223545	59.2825498979871	"downed"
"13,16"	2017	0	0	0	0	"downed"
"13,16"	2018	0	0	0	0	"downed"
"13,16"	2019	0	0	0	0	"downed"
"13,16"	2020	0	0	0	0	"downed"
"13,16"	2021	0	0	0	0	"downed"
"13,16"	2022	0	0	0	0	"downed"
"13,16"	2023	0	0	0	0	"downed"
"13,16"	2024	26.0506723099716	96.1279421032164	26.0506723099716	96.1279421032164	"downed"
"14,05"	2017	8.21063448593842	40.2165560647608	8.21063448593842	40.2165560647608	"downed"
"14,05"	2018	4.00411714166025	25.8278294422383	4.00411714166025	25.8278294422383	"downed"
"14,05"	2019	2.02945754098624	13.0883291363946	2.02945754098624	13.0883291363946	"downed"
"14,05"	2020	0	0	0	0	"downed"
"14,05"	2021	3.00149404848073	11.0756237951318	3.00149404848073	11.0756237951318	"downed"
"14,05"	2022	2.53056533473876	9.33787946398067	2.53056533473876	9.33787946398067	"downed"
"14,05"	2023	4.43243864257267	16.3558621497147	4.43243864257267	16.3558621497147	"downed"
"14,05"	2024	4.17723819970403	15.4141630985388	4.17723819970403	15.4141630985388	"downed"
"14,11"	2017	0	0	0	0	"downed"
"14,11"	2018	0	0	0	0	"downed"
"14,11"	2019	0	0	0	0	"downed"
"14,11"	2020	0	0	0	0	"downed"
"14,11"	2021	0	0	0	0	"downed"
"14,11"	2022	1.98225946223624	7.31461056175735	1.98225946223624	7.31461056175735	"downed"
"14,11"	2023	1.96940854334946	7.26719019686149	1.96940854334946	7.26719019686149	"downed"
"14,11"	2024	2.04714093076217	7.55402557476815	2.04714093076217	7.55402557476815	"downed"
"14,14"	2017	15.4742474994894	56.6898510855915	15.4742474994894	56.6898510855915	"downed"
"14,14"	2018	30.4194657264486	92.2694665263811	30.4194657264486	92.2694665263811	"downed"
"14,14"	2019	30.5288042285532	88.0800507769718	30.5288042285532	88.0800507769718	"downed"
"14,14"	2020	27.8530105559647	78.6520340665468	27.8530105559647	78.6520340665468	"downed"
"14,14"	2021	21.3028533116947	78.6083148033014	21.3028533116947	78.6083148033014	"downed"
"14,14"	2022	17.6842853028149	65.2556653240401	17.6842853028149	65.2556653240401	"downed"
"14,14"	2023	14.6850480010655	54.1883690076217	14.6850480010655	54.1883690076217	"downed"
"14,14"	2024	14.4432417679634	53.2960950847357	14.4432417679634	53.2960950847357	"downed"
"14,24"	2017	6.45694016941234	25.3205471972791	6.45694016941234	25.3205471972791	"downed"
"14,24"	2018	13.0464953572934	58.3933602264764	13.0464953572934	58.3933602264764	"downed"
"14,24"	2019	17.5398080758145	84.7413486631658	17.5398080758145	84.7413486631658	"downed"
"14,24"	2020	12.2402503056156	95.2625782735802	12.2402503056156	95.2625782735802	"downed"
"14,24"	2021	4.81192732208937	17.7561893804036	4.81192732208937	17.7561893804036	"downed"
"14,24"	2022	3.86415638233722	14.2588796396207	3.86415638233722	14.2588796396207	"downed"
"14,24"	2023	6.18283827396715	22.8149013799526	6.18283827396715	22.8149013799526	"downed"
"14,24"	2024	5.20311765132412	19.1996961303473	5.20311765132412	19.1996961303473	"downed"
"15,07"	2017	16.681665842054	69.5901179943748	16.681665842054	69.5901179943748	"downed"
"15,07"	2018	16.9207842000207	73.9170913551242	16.9207842000207	73.9170913551242	"downed"
"15,07"	2019	25.8530591084088	86.8517476667425	25.8530591084088	86.8517476667425	"downed"
"15,07"	2020	13.5429424699512	79.0694103839148	13.5429424699512	79.0694103839148	"downed"
"15,07"	2021	18.7182514302222	69.071038487905	18.7182514302222	69.071038487905	"downed"
"15,07"	2022	18.6210650501533	68.7124171592373	18.6210650501533	68.7124171592373	"downed"
"15,07"	2023	14.1050431953089	52.0481298719886	14.1050431953089	52.0481298719886	"downed"
"15,07"	2024	8.34379864404034	30.7889248857577	8.34379864404034	30.7889248857577	"downed"
"16,05"	2017	0	0	0	0	"downed"
"16,05"	2018	0	0	0	0	"downed"
"16,05"	2019	0	0	0	0	"downed"
"16,05"	2020	0	0	0	0	"downed"
