file,code_of_piece,year,notes_new,uniqid,EX,DP,PN,AA,SD,CH,CAIDO,VIVO,bark_present,bark_absent,BUTTRESS
CWD40_2018_fallen.txt,"01,24M.6.1",2018,es psecropia,fallen004,,*,,,,,,,,,
CWD40_2018_fallen.txt,"24,09J.5.2",2018,corteza,fallen170,,*,,,,,,,,,
CWD40_2018_fallen.txt,"41,24D.4.1",2018,NA,fallen258,,*,,,,,,,,,
CWD40_2018_fallen.txt,"26,21A.3.1",2018,se rompio,fallen186,,*,,*,,,,,,,
CWD40_2018_fallen.txt,"09,12E.7.1",2018,No se pudo determinar de quÃ© Ã¡rbol es la muestra,fallen077,,*,,,,,,,,,
CWD40_2018_fallen.txt,"19,06O.7.1",2018,Mismo tronco de O de pie,fallen127,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,23M.5.1",2018,NA,fallen023,,*,,,,,,,,,
CWD40_2018_fallen.txt,"14,14B.7.1",2018,NA,fallen096,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,12E.4.1",2018,NA,fallen039,,*,,,,,,,,,
CWD40_2018_fallen.txt,"09,12O.2.1",2018,NA,fallen080,,*,,,,,,,,,
CWD40_2018_fallen.txt,"37,17O.5.1",2018,NA,fallen244,,*,,,,,,,,,
CWD40_2018_fallen.txt,"40,21B.9.2",2018,esta aplastado,fallen255,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,23J.2.1",2018,NA,fallen020,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,03I.5.1",2018,NA,fallen027,,*,,,,,,,,,
CWD40_2018_fallen.txt,"37,17G.NA",2018,es el mismo que H6-1,fallen239,,*,,,,,,,,,
CWD40_2018_fallen.txt,"03,23I.5.1",2018,Psecropia,fallen019,,*,,,,,,,,,
CWD40_2018_fallen.txt,"05,03J.3.1",2018,NA,fallen028,,*,,,,,,,,,
CWD40_2018_fallen.txt,"08,06K.9.1",2018,NA,fallen071,,*,,,,,,,,,
CWD40_2018_fallen.txt,"17,01A.7.1",2018,NA,fallen119,,*,,,,,,,,,
CWD40_2018_fallen.txt,"28,16D.7.1",2018,Hura,fallen194,,*,,,,,,,,,
CWD40_2018_fallen.txt,"49,17N.9.1",2018,se esta descomponiendo,fallen337,,*,,,,,,,,,
CWD40_2018_fallen.txt,"07,01K.7.1",2018,NA,fallen061,,*,,,,,,,,,
CWD40_2018_fallen.txt,"39,07B.4.2",2018,es el mismo arbol que A 4-1.,fallen247,,*,,,,,,,,,
CWD40_2018_fallen.txt,"47,10E.7.1",2018,rama rama de tronco caido con corteza,fallen322,,*,,,,,,,,,
CWD40_2018_fallen.txt,"17,01I.7.1",2018,NA,fallen120,,*,,,,,,,,,
CWD40_2018_fallen.txt,"10,20F.7.1",2018,corteza,fallen082,,*,,,,,,,,,
CWD40_2018_fallen.txt,"11,15A.7.1",2018,NA,fallen086,,*,,,,,,,,,
CWD40_2018_fallen.txt,"14,24N.4.1",2018,NA,fallen111,,*,,,,,,,,,
CWD40_2018_fallen.txt,"28,16N.7.2",2018,NA,fallen202,,*,,,,,,,,,
CWD40_2018_fallen.txt,"01,24J.3.1",2018,NA,fallen003,,*,,,,,,,,,
CWD40_2018_fallen.txt,"19,12C.3.2",2018,Hyeral,fallen130,,*,,,,,,,,,
CWD40_2018_fallen.txt,"39,07K.4.1",2018,el aÃ±o pasado teina muchas lianas encima por lo que el dbh no fue bueno,fallen248,,*,,,,,,,,,
CWD40_2018_fallen.txt,"28,16G.7.1",2018,NA,fallen196,,*,,,,,,,,,
CWD40_2018_fallen.txt,"42,12A.9.1",2018,"es el mismo. Esta en el 41,10 en el 2,2 al lado del Ã¡rbol 1478",fallen261,,*,,,,,,,,,
CWD40_2018_fallen.txt,"44,23G.5.1",2018,rama no toca el suelo,fallen292,,*,,,,,,,,,
