month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	penetration.200mm	penetration.200mm.1	branchfall	tag	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
2	2	14,14	K	7-1	NA	260	49	NA	0	6173	Terminalia amazonia. Es un árbol grande con banda de metal, que está en el suelo pero vivo	*	NA	NA	*	NA	*	*	NA	2017	fallen103
2	2	14,14	K	7-2	NA	250	65	NA	0	6173	Terminalia amazonia	*	NA	NA	*	NA	*	*	NA	2017	fallen104
2	2	14,14	L	7-1	NA	208	43	NA	0	6173	Terminalia amazonia	*	NA	NA	*	NA	*	*	NA	2017	fallen105
2	2	14,14	L	7-2	NA	250	42	NA	0	6173	Terminalia amazonia	*	NA	NA	*	NA	*	*	NA	2017	fallen106
2	2	14,14	N	9-1	330	300	68	NA	1	No tag	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen107
2	2	14,14	N	7-1	NA	257	31	NA	0	6173	terminalia amazonia	*	NA	NA	*	NA	*	*	NA	2017	fallen108
2	2	14,14	N	7-2	NA	406	39	NA	0	6173	terminalia amazonia	*	NA	NA	*	NA	*	*	NA	2017	fallen109
2	2	14,14	N	7-3	NA	248	37	NA	0	6173	terminalia amazonia	*	NA	NA	*	NA	NA	*	NA	2017	fallen110
2	1	14,24	K	6-1	342	345	88	NA	1	6087	NA	NA	NA	*	NA	*	NA	*	NA	2017	fallen111
2	1	14,24	K	5-1	432	392	50	NA	1	194349	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen112
2	1	14,24	N	4-1	235	236	81	NA	1	NA	sin corteza	NA	NA	*	*	NA	NA	NA	*	2017	fallen113
2	6	15,07	D	9-1	654	628	57	NA	1	NA	es el mismo que E 9-1. Perdio un pedazo	NA	NA	*	*	NA	NA	*	NA	2017	fallen114
2	6	15,07	E	9-1	703	617	62	NA	1	no tag	es el mismo que D 9-1	NA	NA	*	*	NA	NA	*	NA	2017	fallen115
2	6	15,07	F	3-1	318	172	NA	NA	1	NA	se esta descomponiendo, la cascara se abrio. Sin ramas	NA	NA	*	NA	*	NA	NA	*	2017	fallen116
2	6	15,07	N	9-1	370	357	NA	3	1	NA	NA	NA	NA	*	*	NA	NA	NA	*	2017	fallen117
2	2	16,12	B	6-1	650	658	NA	17	1	NA	NA	NA	NA	*	NA	*	NA	NA	*	2017	fallen118
