month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes_prior	notes	MC	MS	year	observer	diameter_two.mm	uniqid
2	13	23,03	K	9-1	312	313	4.7	1.3	45	NA	2	no tag	sin ramas. Irregular 257. Sin corteza	NA	NA	NA	2019	R	259	standing099
2	13	23,06	J	7-1	744	753	26.5	3.0	33	NA	1	4673	Con corteza. Escalera. Irregular 868	Se le cayo la corteza	NA	*	2019	R	743	standing100
2	13	23,06	J	19-1	NA	230	3.4	1.3	18	NA	2	No tag	NA	NA	*	NA	2019	R	219	standing101
2	13	23,06	K	5-1	528	524	29.8	1.3	4	NA	1	4585	sin corteza. Irregular 479	NA	NA	*	2019	R	503	standing102
2	13	23,06	K	8-1	373	368	8	1.3	85	NA	2	4584	Irregular 290. Con corteza	NA	NA	*	2019	R	261	standing103
2	13	23,06	N	6-1	398	426	8.1	1.3	161	NA	2	4586	Sin corteza	NA	NA	*	2019	R	380	standing104
2	13	23,06	O	7-1	573	NA	12.8	1.3	NA	NA	2	4593	sin corteza. Irregular 519	Caido	NA	NA	2019	R	NA	standing105
2	12	23,17	H	6-1	259	213	1.9	1.3	99	NA	2	no tag. Sin corteza. Es el mismo que I6-1 fallen	NA	NA	NA	*	2019	R	168	standing106
2	12	23,17	O	3-1	384	357	4.7	1.3	98	NA	2	4519	sin corteza. Sin corteza. Irregular 381	NA	NA	*	2019	R	NA	standing107
2	8	23,23	P	2-1	820	673	2.1	1.3	89	NA	2	no tag	sin ramas. Sin corteza. Al lado del arbol 4473. Irregular 696	NA	NA	*	2019	R	661	standing108
2	8	23,23	P	0-1	223	NA	0.75	0.52	NA	NA	2	no tag	Sin corteza. Irregular	no encontrado	NA	NA	2019	R	NA	standing109
2	13	24,09	E	6-1	235	237	2.4	1.3	99	NA	2	146393	con corteza	NA	*	NA	2019	R	NA	standing110
2	13	24,09	I	6-1	392	353	1.5	1.3	42	NA	2	146601	sin corteza. Perdió parte del tronco a 1.3m. Irregular 260	NA	NA	*	2019	R	231	standing111
2	12	24,15	O	8-1	389	511	0.9	0.45	108	NA	0	4386	con corteza	se quebro	NA	*	2019	R	443	standing112
2	12	24,15	P	2-1	688	NA	0.9	0.45	NA	NA	2	4387	sin corteza. Irregular 563	Caido	NA	NA	2019	R	NA	standing113
2	14	26,08	K	5-1	229	225	10.5	1.3	94	NA	2	4009	sin ramas. con corteza. Irregular 218. Perdió parte del tronco	NA sin ramas con corteza	*	NA	2019	R	182	standing114
2	11	26,17	G	6-1	577	NA	19.8	1.5	NA	NA	2	4165	Se cayo	NA	NA	NA	2019	R	NA	standing115
2	11	26,17	J	6-1	417	418	4.7	1.3	26	NA	2	4167	tiene dendrometrometros de metal y plastico.	NA	Con corteza	NA	2019	R	453	standing116
2	11	26,21	B	5-1	303	299	4.8	1.3	45	NA	2	133241	Se está rajando el tronco por El Centro por lo que el dbh es mayor. Con corteza	NA	NA	NA	2019	R	NA	standing117
2	11	26,21	B	7-1	288	NA	13	1.3	NA	NA	2	4077	Se cayo	NA	NA	NA	2019	R	NA	standing118
2	11	26,21	B	8-1	211	218	10.3	1.3	60	NA	2	138307	Con corteza irregular 187 misma altura	NA	NA	NA	2019	R	NA	standing119
2	11	26,21	P	3-1	489	470	0.72	0.36	29	NA	2	NA	Se rompió en parte	Sin corteza	NA	NA	2019	R	177	standing120
2	11	26,21	P	3-2	163	NA	NA	1.3	NA	NA	NA	4086	Se cayo	NA	NA	NA	2019	R	NA	standing121
2	11	26,21	D	19-1	NA	553	12.1	1.3	59	NA	2	4140	Irregular  522 con corteza tomar altura	NA	NA	NA	2019	R	NA	standing122
2	12	28,16	E	7-1	262	NA	7.4	1.3	NA	NA	2	3864	Con corteza	caido	NA	NA	2019	R	NA	standing123
2	12	28,16	G	8-1	218	230	5.1	1.3	33	NA	2	122548	Con corteza	NA	NA	*	2019	R	NA	standing124
2	12	28,16	O	8-1	236	NA	17.3	1.3	NA	NA	2	117661	Con corteza	Caido	NA	NA	2019	R	NA	standing125
2	14	29,06	M	8-1	226	NA	3	1.3	NA	NA	2	111365	NA	Caido	NA	NA	2019	R	NA	standing126
2	18	31,16	K	8-1	1012	NA	25.5	3.5	NA	NA	2	3184	Escalera. Con corteza. Irregular 945	Caido	NA	NA	2019	R	NA	standing127
2	18	31,16	B	3-1	82	NA	2	1.3	NA	NA	1	3189	Caido no mide	NA	NA	NA	2019	R	NA	standing128
1	17	31,21	L	2-1	223	223	2.9	1.3	81	NA	2	104126	sin ramas. sin corteza	NA	NA	NA	2019	R	198	standing129
1	17	31,21	J	19-1	NA	508	22.7	1.3	20	NA	1	3451	NA	Platypodium. Sin corteza	NA	NA	2019	R	514	standing130
2	14	32,07	B	8-1	340	303	3.8	1.3	28	NA	2	26207	con corteza	NA	*	NA	2019	R	NA	standing131
2	14	32,07	D	8-1	428	431	6	1.3	95	NA	2	3260	con corteza. Irregular 402	NA	NA	*	2019	R	396	standing132
2	14	32,07	H	6-1	838	NA	15.2	2.9	NA	NA	2	3248	escalera. Sin corteza. Está hueco y le falta parte del tronco	caido	NA	NA	2019	R	NA	standing133
2	28	32,07	H	19-1	NA	953	1.3	0.65	25	NA	2	3248	NA	Resto que quedó de pie de H 6-1	NA	*	2019	R	63	standing134
2	28	32,07	H	19-2	NA	828	0.7	0.37	96	NA	2	3248	NA	Resto que quedó de pie de H 6-1	NA	*	2019	R	163	standing135
2	28	32,07	H	19-3	NA	816	1.7	1.3	40	NA	2	3248	NA	Resto que quedó de pie de H 6-1	NA	*	2019	R	293	standing136
2	15	33,12	C	4-1	833	NA	3	1.5	NA	NA	2	3036	sin corteza. Esta quebrado. Perdió una parte del diametro. Irregular 561	Caido	NA	NA	2019	R	NA	standing137
2	15	33,12	J	8-1	219	228	7.8	1.3	50	NA	2	97481	NA	NA	NA	*	2019	R	189	standing138
2	15	33,12	J	19-1	NA	231	13.9	1.3	47	NA	2	832387	NA	NA	*	NA	2019	R	224	standing139
2	15	33,12	L	0-1	220	NA	1.4	0.80	NA	NA	2	92461	Irregular 207	Caido	NA	NA	2019	R	NA	standing140
2	14	34,04	F	3-1	231	227	2.6	1.3	42	NA	2	90840	sin corteza	NA	NA	*	2019	R	203	standing141
2	28	34,04	B	7-1	1046	1052	40.2	3.0	28	NA	0	2600	escalera. TACHVE. Con corteza. Irregular 1015	NA	*	NA	2019	R	947	standing142
2	18	34,15	F	7-1	270	263	5.2	1,3	180	NA	1	93153	Sin corteza 232 irregular esta muestra esta es en G y no en F misma altura	NA	NA	*	2019	R	232	standing143
2	14	36,04	P	3-1	274	NA	4.6	1.3	NA	NA	2	2272	con corteza	Caido	NA	NA	2019	R	NA	standing144
2	14	36,04	L	19-1	NA	983	2.6	1.3	40	NA	2	2274	NA	NA	*	NA	2019	R	482	standing145
2	15	36,10	M	6-1	291	271	2.4	1.3	NA	1	2	536230	con corteza. Sin ramas	Esta hueco	NA	*	2019	R	251	standing146
2	15	36,13	F	9-1	214	205	5.54	2.2000000000000002	60	NA	2	2506	sin ramas. Sin corteza	Se está rajando	NA	*	2019	R	242	standing147
2	15	36,13	G	8-1	401	418	14.1	1.3	24	NA	1	82303	Irregular 353	NA	*	NA	2019	R	353	standing148
2	19	37,17	P	0-1	317	273	1.03	0.51	NA	9	2	2143	Sin corteza. Irregular 272	perdio parte del tronco	NA	NA	2019	R	NA	standing149
2	19	37,17	I	6-1	1173	NA	9	2.8	NA	NA	2	2371	Escalera. Con corteza. Se esta rajando por lo que mide mas. Irregular 1080	Caido	NA	NA	2019	R	NA	standing150
2	15	38,11	B	7-1	308	NA	8.4	1.3	NA	NA	2	1980	sin corteza	Caido	NA	NA	2019	R	NA	standing151
2	15	38,11	M	8-1	349	340	7	1.3	19	NA	2	1990	Con corteza	NA	NA	*	2019	R	310	standing152
2	15	39,07	A	19-1	NA	377	12.5	1.3	24	NA	2	1872	NA	NA	*	NA	2019	R	303	standing153
2	15	39,07	D	7-1	393	NA	22.3	1.3	NA	NA	1	66089	sin corteza	Caido	NA	NA	2019	R	NA	standing154
2	28	39,07	I	7-1	855	865	32	3.3	30	NA	0	66360	escalera. TACHVE. Con corteza. Irregular 783	NA	*	NA	2019	R	819	standing155
2	19	40,21	C	3-1	258	NA	10.1	1.3	NA	NA	2	64001	con corteza. Irregular 203	Caido	NA	NA	2019	R	NA	standing156
2	19	40,21	C	6-1	201	209	3.9	1.3	38	NA	2	56943	con corteza	NA	*	NA	2019	R	NA	standing157
2	19	41,24	D	19-1	NA	254	10	1.3	28	NA	2	1744	NA	NA	*	NA	2019	R	217	standing158
2	20	42,12	C	3-1	252	243	9.6	1.3	12	NA	2	no tag	sin ramas. Irregular 169	NA	NA	*	2019	R	173	standing159
2	28	42,12	G	8-1	374	370	15.8	3	48	NA	2	52504	Escalera. Con corteza	NA	NA	*	2019	R	304	standing160
2	20	42,12	N	9-2	302	206	0.8	0.45	51	NA	2	no tag	sin ramas. Irregular 222	NA	NA	*	2019	R	166	standing161
2	19	42,21	F	6-1	247	NA	7.9	1.3	NA	NA	2	1393	Sin corteza. Irregular 215	Caido	NA	NA	2019	R	NA	standing162
2	20	43,15	H	0-2	NA	NA	2.8	1.3	NA	NA	2	1284	con corteza. Este árbol está vivo, sacar de la lista	Sigue vivo	NA	NA	2019	R	NA	standing163
2	20	43,15	J	9-1	302	308	2.3	1.3	NA	NA	2	no tag	sin corteza. Irregular 284	NA	NA	*	2019	R	282	standing164
2	20	44,07	B	5-1	777	765	5.28	1.6	29	NA	2	870	Con corteza. Se está rajando. Irregular 648. Hueco en el centro	NA	*	NA	2019	R	593	standing165
2	26	45,05	E	8-1	425	346	2.3	1.3	NA	4	2	no tag	irregular 328. Con corteza	Se está llenando de hongos	*	NA	2019	R	253	standing166
2	26	45,05	K	6-1	306	290	4.1	1.3	32	NA	2	30985	si ramas Con corteza	NA	*	NA	2019	R	270	standing167
2	28	46,21	F	8-1	758	745	17.9	2.9	38	NA	2	687	Sin corteza	NA	*	NA	2019	R	675	standing168
2	27	46,21	G	8-1	221	193	1.7	1.3	NA	NA	2	No tag	Con corteza	NA	NA	NA	2019	R	NA	standing169
2	26	47,05	B	6-1	142	NA	1.1	0.61	NA	NA	2	510	El tronco se rajo y perdió una parte	No encontrado	NA	NA	2019	R	NA	standing170
2	27	47,10	G	6-1	503	484	3.1	1.3	NA	12	2	550	Sin corteza	NA	NA	*	2019	R	467	standing171
2	27	47,17	F	8-1	219	216	1.8	1.3	NA	10	2	no tag	Con corteza	NA	*	NA	2019	R	NA	standing172
2	27	47,17	G	8-1	349	347	6.2	1.3	126	NA	2	646456	Con corteza	NA	*	NA	2019	R	290	standing173
2	27	49,01	E	3-1	463	NA	2.1	1.3	NA	NA	2	169	Con corteza	Caido	NA	NA	2019	R	NA	standing174
2	27	49,01	O	3-1	313	339	0.51	0.3	30	NA	2	849015	Sin corteza. Irregular 297	NA	NA	*	2019	R	304	standing175
2	27	49,01	P	7-1	316	NA	17	1.3	NA	NA	1	105	con corteza	Caido	NA	NA	2019	R	NA	standing176
2	27	49,04	O	8-1	668	668	17.1	1.3	22	NA	1	142	con corteza. Irregular 459	NA	*	NA	2019	R	420	standing177
2	27	49,12	H	8-1	270	267	2.5	1.3	66	NA	2	234	Con corteza	NA	*	NA	2019	R	238	standing178
2	27	49,12	J	19.1	NA	272	7.8	1.3	34	NA	2	10738	NA	NA	*	NA	2019	R	243	standing179
2	27	49,24	B	19.1	NA	460	2.1	1.3	57	NA	2	129102	NA	Hay un parte del tronco que no se cae del tronco principal porque está recostado a otro árbol y lianas. Tiene unos 23m de largo la parte que no se ha caido	NA	NA	2019	R	411	standing180
