month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	branches	tag	notes_prior	notes	MC	MS	year	observer	irregular_diameter_prior	diameter_two.mm	uniqid
3	3	23,17	O	3-1	421	303	1.05	0.55	1	4519	el arbol se partio a 1.10	NA	NA	*	2021	E	226	167	standing124
2	22	23,23	A	20-1	237	232	5.4	1.3	2	148686	NA	NA	NA	*	2021	R	158	140	standing125
2	22	23,23	P	2-1	727	746	1.8	1.3	2	no tag	Se esta rajando	NA	NA	*	2021	R	659	630	standing126
3	4	24,09	E	6-1	231	223	2.5	1.3	2	146393	NA	NA	NA	*	2021	E	203	183	standing127
3	4	24,09	I	6-1	288	259	1.4	1.3	2	146601	NA	NA	NA	*	2021	E	153	143	standing128
3	10	24,15	K	20-1	732	733	31.2	3	1	4394	Escalera	El POMesta equivocado a 1.3m, es arbol con escalera	*	NA	2021	E	732	682	standing129
3	3	24,15	O	8-1	491	368	0.95	0.45	0	4386	NA	NA	NA	*	2021	E	455	276	standing130
3	4	26,08	G	21-1	NA	397	15	1.3	1	4219	NA	NA	*	NA	2021	E	NA	292	standing131
3	4	26,08	I	20-1	286	209	2.3	1.3	2	136229	NA	NA	*	NA	2021	E	198	135	standing132
3	10	26,17	C	20-1	NA	NA	4.8	1.3	2	No tag	Escalera. Ceiba gambas muy altas. Se estimó diametro a 1.3. Se estimó el diametro con cinta y esta en aproximadamente 2300mm a 3.5m	Mide 2110 mm de diámetro medida con cinta diámetro a  3.5m de altura. Árbol perdió paté del tronco.	NA	NA	2021	E	NA	NA	standing133
3	4	26,17	J	6-1	NA	NA	NA	1.3	2	4167	NA	Caido	*	NA	2021	E	NA	NA	standing134
2	22	26,21	B	5-1	287	286	4.7	1.3	2	133241	NA	rajado	*	NA	2021	R	NA	261	standing135
2	22	26,21	B	8-1	229	NA	NA	1.3	2	138307	NA	nada	NA	NA	2021	R	NA	NA	standing136
2	22	26,21	P	3-1	545	492	0.58	0.36	2	NA	NA	NA	NA	NA	2021	R	153	167	standing137
2	22	26,21	D	19-1	522	512	12	1.3	2	4140	NA	NA	NA	*	2021	R	NA	506	standing138
2	22	26,21	K	21-1	NA	465	32.2	1.3	1	4089	NA	NA	*	NA	2021	R	NA	443	standing139
3	4	28,16	G	8-1	218	NA	NA	1.3	2	122548	NA	Caido	NA	*	2021	E	NA	NA	standing140
3	5	31,16	B	3-1	NA	NA	NA	1.3	1	3189	No aparece	Nada	NA	NA	2021	E	NA	NA	standing141
3	10	31,16	N	20-1	542	513	20	3	1	3188	Escalera	Escalera	*	NA	2021	E	509	538	standing142
2	23	31,21	F	21-1	NA	624	2.9	1.3	0	3441	NA	NA	*	NA	2021	R,V	NA	623	standing143
3	5	31,21	L	2-1	136	90	3.2	1.3	2	104126	NA	NA	NA	*	2021	R	NA	NA	standing144
2	23	31,21	J	19-1	510	520	20.2	1.3	2	3451	NA	NA	NA	*	2021	R,V	502	422	standing145
3	4	32,07	B	8-1	314	307	3	1.3	2	26207	NA	NA	*	NA	2021	E	NA	NA	standing146
3	4	32,07	H	19-2	783	758	0.75	0.37	2	3248	NA	NA	NA	*	2021	E	139	136	standing147
3	4	32,07	H	19-3	799	705	1.6	1.3	2	3248	NA	Solo queda parte del tronco	NA	*	2021	E	203	241	standing148
3	4	32,07	N	20-1	297	300	11.5	1.3	2	96459	NA	NA	*	NA	2021	E	NA	287	standing149
3	5	33,12	D	21-1	NA	514	24.2	1.9	1	3037	NA	NA	NA	*	2021	E	NA	475	standing150
3	5	33,12	J	19-1	228	219	8.8	1.3	2	832387	NA	Inclinado 20 grados	*	NA	2021	E	218	206	standing151
3	5	33,12	J	21-1	NA	508	24.7	1.3	1	832406	NA	NA	*	NA	2021	E	NA	498	standing152
