month	day	subplot_code	transect_section_letter	code_of_piece	diameter_width_prior	diameter_width.mm	diameter_height_prior	diameter_height.mm	branchfall	tag	inclination	orientation_degrees_prior	orientation_degrees	suspended	soil_contact	notes_prior	notes	RT	RR	TT	TC	TS	TV	MC	MS	year	uniqid
3	2	15,07	C	19-2	326	67	NA	NA	1	514161	NA	40	40	NA	*	Se descompuso	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen110
3	2	15,07	D	9-1	580	565	NA	NA	1	no tag	3.7	320	320	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen111
3	2	15,07	E	9-1	600	594	NA	NA	1	no tag	1.2	320	320	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen112
3	2	16,12	J	7-1	210	103	NA	NA	0	5675	5.7	20	20	NA	*	NA	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen113
3	2	17.1	A	7-1	NA	155	183	168	1	175131	10.8	40	40	*	NA	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen114
3	2	17,01	I	7-1	NA	NA	NA	NA	1	180276	NA	NA	NA	NA	NA	NA	nada	NA	NA	*	*	NA	NA	*	NA	2021	fallen115
3	2	17,01	I	7-2	130	NA	NA	NA	1	5907	NA	100	NA	NA	NA	Ya no mide	nada	NA	NA	*	NA	*	NA	NA	*	2021	fallen116
3	2	17,01	M	8-1	NA	313	311	NA	1	No tag	16.5	185	180	NA	*	Inclinacion  16.2  grados 174 con corteza	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen117
3	2	17,08	O	21-1	NA	490	NA	NA	1	5542	6.2	NA	110	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen118
3	2	17,08	D	21-1	NA	299	NA	NA	1	No tag	6.6	NA	92	NA	*	NA	NA	NA	NA	*	*	NA	NA	*	NA	2021	fallen119
3	3	18,23	O	7-1	273	NA	NA	NA	1	no tag	NA	250	NA	NA	*	Muestra rota	solo el clavo, se descompuso	NA	NA	*	*	NA	NA	NA	*	2021	fallen120
3	2	19,02	C	19-1	NA	NA	268	NA	1	No tag	NA	180	NA	NA	*	1 golpe corteza  inclinacion 13.9 grados178	Se descompuso	NA	NA	*	NA	NA	*	*	NA	2021	fallen121
3	2	19,02	I	19-1	NA	194	193	NA	0	No tag	4.4	306	310	NA	*	No mide	NA	*	NA	NA	NA	*	NA	*	NA	2021	fallen122
3	2	19,08	C	7-1	NA	143	177	NA	1	5217	5.6	215	218	NA	*	No mide	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen123
3	3	19,12	C	3-1	183	138	NA	NA	1	no tag	0.2	235	235	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen124
3	3	19,12	E	19-1	310	265	NA	NA	1	5332	4.7	340	330	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen125
3	3	19,16	A	8-1	251	196	NA	136	0	5047	13	230	225	*	NA	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen126
3	3	19,16	A	8-3	603	389	NA	NA	1	5047	0.1	220	228	NA	*	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen127
3	3	19,16	A	20-1	209	203	NA	NA	1	5177	13.5	115	100	NA	*	NA	NA	NA	*	NA	NA	*	NA	*	NA	2021	fallen128
3	3	19,16	A	21-1	NA	523	NA	NA	1	5177	11.2	NA	218	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen129
3	3	19,16	I	19-1	278	275	NA	NA	0	172362	4.8	295	298	NA	*	NA	NA	NA	*	NA	NA	NA	*	*	NA	2021	fallen130
3	3	19,16	I	19-2	322	317	240	226	0	172362	1.5	290	296	*	NA	NA	NA	NA	*	NA	NA	NA	*	NA	*	2021	fallen131
3	3	19,16	K	21-1	NA	302	NA	NA	1	167104	5.6	NA	18	NA	*	NA	NA	NA	NA	*	NA	*	NA	*	NA	2021	fallen132
3	3	19,16	N	6-1	152	NA	NA	NA	0	5047	NA	140	NA	NA	NA	NA	nada	NA	*	NA	NA	*	NA	*	NA	2021	fallen133
3	3	19,16	O	5-1	143	142	NA	NA	1	5176	4.5	292	292	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen134
3	3	19,16	O	7-1	177	NA	NA	NA	0	5047	NA	246	NA	NA	NA	NA	Nada	NA	*	NA	*	NA	NA	NA	*	2021	fallen135
3	3	19,16	O	7-2	110	NA	NA	NA	0	5047	NA	218	NA	NA	NA	NA	Nada	NA	*	NA	*	NA	NA	NA	*	2021	fallen136
3	3	19,16	O	20-1	218	219	NA	205	0	5177	25.8	340	340	*	NA	NA	NA	NA	*	NA	NA	*	NA	*	NA	2021	fallen137
3	3	19,16	O	20-2	256	233	198	NA	0	5177	13.5	270	270	NA	*	NA	NA	NA	*	NA	NA	*	NA	NA	*	2021	fallen138
3	3	19,16	P	7-2	314	NA	NA	NA	0	5047	NA	140	NA	NA	NA	nada	NA	NA	*	NA	*	NA	NA	NA	*	2021	fallen139
3	3	19,16	P	8-1	1005	780	NA	NA	1	5047	3.2	50	44	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen140
3	3	19,19	C	9-1	250	121	NA	128	1	NA	6	160	160	*	NA	NA	Solo queda un pedazo en el aire	NA	NA	*	*	NA	NA	NA	*	2021	fallen141
3	3	19,19	G	2-1	363	360	NA	NA	0	No tag	1.5	310	318	NA	*	NA	NA	*	NA	NA	*	NA	NA	NA	*	2021	fallen142
3	3	19,19	G	3-1	657	657	583	NA	1	5389	0.4	273	284	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen143
3	3	19,19	O	7-1	178	142	NA	NA	1	5154	8	318	320	NA	*	NA	NA	NA	NA	*	*	NA	NA	NA	*	2021	fallen144
3	2	21,04	B	21-1	NA	319	NA	311	0	4930	17.6	NA	300	*	NA	NA	NA	*	NA	NA	NA	NA	*	*	NA	2021	fallen145
