month	day	subplot_code	transect_section_letter	code_of_piece	diameter_prior	diameter_one.mm	height	POM	penetration.200mm	penetration.200mm.1	branches	tag	notes	year	observer	uniqid
2	15	36,13	O	3-1	NA	NA	NA	1.3	NA	NA	NA	2328	Nada. Solo se encontró pequeños restos de donde estaba	2017	R	standing154
2	14	37,17	P	0-1	322	313	1.8	1.3	192	NA	2	2143	Sin corteza. Se cambio el POM porque la altura del árbol es 1.9	2017	R	standing155
3	2	37,17	I	6-1	1071	1143	9.0	2.8	81	NA	2	2371	Escalera. Con corteza. Se esta rajando por lo que mide mas	2017	R	standing156
2	20	38,11	B	7-1	NA	333	10.0	1.3	26	NA	2	1980	sin corteza	2017	R	standing157
2	20	39,07	A	3-1	220	207	8.2	1.3	132	NA	2	1880	sin corteza	2017	R	standing158
2	20	39,07	A	6-1	698	633	0.78	0.52	NA	1	2	NA	sin corteza. Es Jacaranda	2017	R	standing159
2	20	39,07	D	7-1	NA	397	25.4	1.3	13	NA	1	66089	sin corteza	2017	R	standing160
2	20	39,07	G	5-1	344	380	16.4	1.3	39	NA	2	1958	sin ramas. Corteza.	2017	R	standing161
3	2	39.07	H	7-1	NA	545	29.2	3.0	70	NA	1	1965	escalera. Con Corteza	2017	R	standing162
3	2	39,07	I	7-1	NA	832	32.0	3.3	35	NA	0	66360	escalera. TACHVE. Con corteza	2017	R	standing163
2	20	39,07	L	5-1	791	NA	NA	3.2	NA	NA	NA	1869	caido	2017	R	standing164
2	14	39,15	C	2-1	312	366	1.27	0.62	NA	5	2	2007	sin ramas. Corteza. Una parte del tronco se cayo, solo queda un pedazo. Tiene hongos	2017	R	standing165
2	24	40,21	C	3-1	266	262	10.6	1.3	24	NA	2	64001	con corteza	2017	R	standing166
2	24	40,21	C	6-1	203	218	3.9	1.3	38	NA	2	56943	con corteza	2017	R	standing167
2	22	42,12	C	3-1	275	258	12.2	1.3	15	NA	2	no tag	sin ramas	2017	R	standing168
2	22	42,12	I	NA	248	NA	NA	1.3	NA	NA	NA	52461	caido	2017	R	standing169
2	22	42,12	N	9-2	542	324	0.90	0.45	22	NA	2	no tag	sin ramas. El POM paso de 2.00 a 0.45	2017	R	standing170
2	22	42,12	M	6-1	248	NA	NA	1.3	NA	NA	2	17606	caido	2017	R	standing171
2	22	42,21	F	6-1	280	278	7.9	1.3	29	NA	2	1393	Sin corteza	2017	R	standing172
2	24	42,21	O	6-1	237	220	7.5	1.3	61	NA	2	1328	con corteza	2017	R	standing173
2	23	43,15	B	5-1	274	NA	NA	1.3	NA	NA	NA	1083	solo se encontró fragmentos en el suelo	2017	R	standing174
2	23	43,15	H	0-2	218	230	2.8	1.3	15	NA	2	1284	con corteza	2017	R	standing175
2	23	43,15	J	9-1	293	305	3.2	1.3	9	NA	2	no tag	sin corteza	2017	R	standing176
2	22	44,07	B	2-1	NA	NA	NA	1.3	NA	NA	NA	35976	Nada	2017	R	standing177
2	22	44,07	B	5-1	785	797	5.28	1.6	19	NA	NA	870	Con corteza. Se está rajando	2017	R	standing178
3	2	44,23	D	2-2	406	NA	NA	1.3	NA	NA	NA	NA	Caido	2017	R	standing179
3	2	44,23	M	3-1	NA	NA	NA	1.3	NA	NA	NA	39175	No se encontro	2017	R	standing180
