"subplot_code","month","day","year","transect_section_letter","code_of_piece","diameter_width.mm","diameter_height.mm","penetration.200mm","penetration.200mm.1","orientation_degrees","inclination","branchfall","uniqid","tag","notes","observer","RT","RR","TT","TC","TS","TV","MC","MS","suspended","soil_contact","coded_notes","pen.hit.mm","pendensity.kgm3","pen_density","years_present","first_appearance","last_ppearance","pen_crossmass.kgm","diam_sqr_m","k.diameter.yr","k.csmass.yr","habitat"
"02,16",2,6,2020,"E","02,16E.9.1",382,NA,186,NA,190,16,0,"fallen010",NA,NA,"R",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",9.3,179.326167047253,TRUE,7,2017,2023,20.5522925425996,0.145924,0.040058760552005,-0.332794989783516,"low_plateau"
"02,16",2,25,2021,"E","02,16E.9.1",367,NA,NA,NA,190,7.2,0,"fallen011",NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,7,2017,2023,28.6675976652863,0.134689,0.0360649349207959,0.0721298698415918,"low_plateau"
"02,16",2,8,2022,"E","02,16E.9.1",354,329,NA,NA,190,5.9,0,"fallen013",NA,NA,"E",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,7,2017,2023,26.6726211422093,0.125316,0.0492139827814128,0.0984279655628253,"low_plateau"
"02,16",2,10,2023,"E","02,16E.9.1",337,NA,NA,NA,194,3.4,0,"fallen011",NA,NA,"E",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,7,2017,2023,24.1723555691178,0.113569,NA,NA,"low_plateau"
"02,16",2,16,2018,"F","02,16F.8.1",243,NA,55,NA,NA,NA,NA,"fallen012","257704","tronco. Psecropia","R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",2.75,270.949874585587,TRUE,2,2018,2019,12.5658358716248,0.059049,0.0124225199985571,0.362439522264268,"low_plateau"
"02,16",1,31,2019,"F","02,16F.8.1",240,NA,149,NA,50,7,1,"fallen010","257704",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",7.45,193.318552019052,TRUE,2,2018,2019,8.74552525668967,0.0576,NA,NA,"low_plateau"
"02,16",2,6,2020,"H","02,16H.20.1",328,NA,NA,2,55,14,1,"fallen012","257916",NA,"R",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"",100,80.2094918006886,TRUE,1,2020,2020,6.7774033578891,0.107584,NA,NA,"low_plateau"
"02,16",2,6,2020,"H","02,16H.20.2",405,NA,NA,2,80,1,1,"fallen013","257916",NA,"R",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"",100,80.2094918006886,TRUE,2,2020,2021,10.3329824674465,0.164025,0.093090423066012,-1.03129611524868,"low_plateau"
"02,16",2,25,2021,"H","02,16H.20.2",369,369,NA,NA,70,6.1,1,"fallen014","257916",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",NA,271,FALSE,2,2020,2021,28.9809024174435,0.136161,NA,NA,"low_plateau"
"02,16",2,16,2018,"I","02,16I.8.1",312,NA,51,NA,NA,NA,NA,"fallen013","257916","Tronco","R",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",2.55,277.969501364754,TRUE,4,2018,2021,21.2518243348143,0.097344,-0.0190481949706945,0.0787154832066637,"low_plateau"
"02,16",1,31,2019,"I","02,16I.8.1",318,NA,72,NA,70,2,1,"fallen011","257916",NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",3.6,247.324076488686,TRUE,4,2018,2021,19.6431221558109,0.101124,0.0549411180313011,0.414574898155574,"low_plateau"
"02,16",2,6,2020,"I","02,16I.8.1",301,NA,177,NA,70,2,1,"fallen014","257916",NA,"R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",8.85,182.364396709757,TRUE,4,2018,2021,12.9766600280526,0.090601,0.26903095582568,0.141949955881956,"low_plateau"
"02,16",2,25,2021,"I","02,16I.8.1",230,NA,NA,NA,68,4,1,"fallen015","257916",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,4,2018,2021,11.2593895306495,0.0529,NA,NA,"low_plateau"
"03,09",2,8,2022,"D","03,09D.22.1",307,NA,NA,NA,114,6.2,2,"fallen017","8040",NA,"E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,20.0602306970545,0.094249,-0.028894465999715,-0.0577889319994297,"low_plateau"
"03,09",2,10,2023,"D","03,09D.22.1",316,NA,NA,NA,114,4.6,2,"fallen012","8040","se corriguio branchfall es 2.","E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,21.2536408501424,0.099856,-0.0524002763935317,-0.104800552787064,"low_plateau"
"03,09",2,16,2024,"D","03,09D.22.1",333,NA,NA,NA,115,1.6,2,"fallen009","8040",NA,"E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,23.6019365910055,0.110889,NA,NA,"low_plateau"
"03,09",2,8,2022,"E","03,09E.22.1",654,NA,NA,NA,30,1.3,1,"fallen018","8302",NA,"E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,91.0363147918955,0.427716,0.22543976357456,0.45087952714912,"low_plateau"
"03,09",2,10,2023,"E","03,09E.22.1",522,NA,NA,NA,28,4.1,1,"fallen013","8302",NA,"E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,57.9962853850566,0.272484,0.294088244264192,0.588176488528385,"low_plateau"
"03,09",2,16,2024,"E","03,09E.22.1",389,NA,NA,NA,28,2.4,1,"fallen010","8302",NA,"E",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"TRUE","FALSE",NA,NA,"",NA,271,FALSE,3,2022,2024,32.2076008160191,0.151321,NA,NA,"low_plateau"
"03,09",2,16,2018,"H","03,09H.8.1",231,NA,70,NA,NA,NA,1,"fallen015",NA,"tronco","R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",3.5,249.695501034326,TRUE,4,2018,2021,10.4646464098506,0.053361,-0.0129034048359078,0.301566951230449,"low_plateau"
"03,09",1,29,2019,"H","03,09H.8.1",234,NA,184,NA,360,13,0,"fallen012",NA,"Psecropia.",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"TRUE","FALSE",NA,NA,"",9.2,179.984082916308,TRUE,4,2018,2021,7.74026261194649,0.054756,0.0481493438975826,0.904525247033632,"low_plateau"
"03,09",2,6,2020,"H","03,09H.8.1",223,NA,NA,2,356,9.5,0,"fallen015",NA,NA,"R",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"FALSE","TRUE",NA,NA,"",100,80.2094918006886,TRUE,4,2018,2021,3.13274735633986,0.049729,0.0841617923217107,-1.04915337673728,"low_plateau"
